code,station_name,latitude_deg,longitude_deg,mountpoint,ntrip_host,ntrip_port,data_format,constellation,ntrip_zone
P599,GammaGulchCS2006,34.21716868888889,-116.53745183666666,P599_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P744,ImperialVCCS2007,32.829380433333334,-115.5083931475,P744_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P796,SanLuisSW_AZ2010,32.49786898861111,-114.75933501583333,P796_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P797,Sagebrush_CA2010,33.537291815833335,-116.59251508166666,P797_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
POBG,Polly Butte,33.68713132583333,-116.92373646333334,POBG_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
RKMG,Ramakrishna Mona,33.674125375277775,-117.609417,RKMG_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
RMVJ,RanchoMissCA2012,33.485810898333334,-117.55531090527778,RMVJ_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
SGPS,San Gorgonio Pas,33.91253454583333,-116.6956746463889,SGPS_RTCM3,132.239.152.4,2105,RTCM 3.3,GPS+GLONASS,6
SONG,San_OnofreCA2012,33.38074950083333,-117.56025070583333,SONG_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
THMG,Thermal Canyon,33.65063769555555,-116.07723780777778,THMG_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
TMAP,Thermal Airport,33.64124363861111,-116.1604494675,TMAP_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
VTOR,Vista_TwinCA2012,33.22501489666667,-117.19317553861111,VTOR_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
WIDC,Wide Canyon,33.93475575861111,-116.39177011472223,WIDC_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
WMDG,Westmoreland GPS,33.038321447777776,-115.58188218472222,WMDG_RTCM3,132.239.152.4,2105,RTCM 3.3,GPS+GLONASS,6
WWMT,Whitewater Mount,33.95531199527778,-116.65384510416668,WWMT_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
YUHG,Yuha Desert GPS,32.64756519472222,-115.92222267361112,YUHG_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
CNPP,CNPP_SCGN_CS1999,33.857632494444445,-117.60890993166666,CNPP_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
ECFS,ECFS_SCGN_CS2001,33.647684410277776,-117.41168512361112,ECFS_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
HNPS,HNPS_SCGN_CS1999,33.705002435277784,-115.63532272138889,HNPS_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
IID2,IID2_SCGN_CS1998,32.70616545083334,-115.03178976333334,IID2_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P476,SantaMargaCS2005,33.43964912138888,-117.18966692527778,P476_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P477,TemeculaVHCS2005,33.50280092333333,-117.11336186305554,P477_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P481,CarrizoMtnCS2007,32.82223854666667,-116.0107815175,P481_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P490,Toro_Peak_CS2006,33.52346089527778,-116.42589369166667,P490_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P495,WestmorlndCS2005,33.04495881361111,-115.62838119666667,P495_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P496,McCabe_UESCS2005,32.75062416527778,-115.59594228027777,P496_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P497,ImperialApCS2005,32.834733392222226,-115.57701960638889,P497_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P501,HoltvilleCCS2005,32.875753251666666,-115.39789889472223,P501_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P502,MagnoliaESCS2005,32.98244803194444,-115.42189823972222,P502_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P503,SuperHillsCS2007,32.94891355888888,-115.72017048277777,P503_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P504,SOrocopiaMCS2005,33.516407296666664,-115.76583454083334,P504_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P507,RedIslandMCS2005,33.1999722025,-115.6123926975,P507_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P510,ScheuPropsCS2005,33.14357100083333,-115.34331903888888,P510_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P511,CoxcombMtnCS2005,33.886931473611114,-115.29608771305556,P511_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P584,PotreroCrkCS2004,33.892601955833335,-116.95163012583333,P584_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P601,GeologyRd_CS2006,33.95929383166667,-116.08021540611111,P601_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P607,CottonSprgCS2006,33.74103659888889,-115.82064008861111,P607_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P608,DuplexMineCS2008,33.994080268611114,-115.68659024388889,P608_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P740,PathFi082gCS2006,33.59819330916667,-116.59596433861111,P740_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P741,SantaR086gCS2006,33.557471944444444,-116.53101003611111,P741_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P742,FordRa087gCS2006,33.49554189166667,-116.60256228833333,P742_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
PPBF,PPBF_SCGN_CS1998,33.83572652527778,-117.182078925,PPBF_RTCM3,132.239.152.4,2105,RTCM 3.3,GPS,6
SBCC,SBCC_SCGN_CS1999,33.553000705833334,-117.66147707722223,SBCC_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
AERO,San Diego City Field Engineering - Kearny Mesa - Aero Drive,32.807467055,-117.12436838083333,AERO_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
CBAD,Carlsbad Highway Maintenance Station,33.12131820583333,-117.31756859138889,CBAD_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
CMPO,Lake Morena Campground,32.68659031638889,-116.52648971111111,CMPO_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
CMRP,Carmel Mountain Ranch Park,32.96718419166667,-117.09118757388889,CMRP_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
DIDO,ESCONDIDO MAINTENANCE STATION,33.12885097,-117.11825076999999,DIDO_RTCM3,132.239.152.4,2105,RTCM 3.1,GNSS,6
DMAR,Ocean Air Community Park,32.927693444166664,-117.21688505416667,DMAR_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
DSCO,INTERSTATE 8 & IMPERIAL VALLEY ROAD INTERCHANGE,32.828813610000005,-116.62471386,DSCO_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
HOOT,Lake Sutherland Marina,33.10513844277778,-116.78535223027778,HOOT_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
OBRC,Ocean Beach Rec Center,32.74496089916667,-117.24544744611111,OBRC_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
OTAY,Otay Mesa Water Treatment Plant,32.60799181,-116.93217526000001,OTAY_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
OWHQ,Otay Water District HQ,32.72382495277778,-116.96755143916667,OWHQ_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
POSD,Port of San Diego General Services,32.66755454027778,-117.11663329916666,POSD_RTCM3,132.239.152.4,2105,RTCM 3.3,GPS,6
RBFT,Michael Baker International Temecula,33.52892358,-117.15945949,RBFT_RTCM3,132.239.152.4,2105,RTCM 3.1,GPS,6
SD11,SR 11/Enrico Fermi,32.56480535611111,-116.92816172611111,SD11_RTCM3,132.239.152.4,2105,RTCM 3.1,GPS,6
SNTE,Santee Regional Maintenance Station,32.830611000833336,-116.9708773775,SNTE_RTCM3,132.239.152.4,2105,RTCM 3.3,GPS,6
TEVC,Tijuana Estuary Visitor Center,32.574829802500005,-117.12654171583333,TEVC_RTCM3,132.239.152.4,2105,RTCM 3.3,GPS,6
DSRT,Desert Center Interstate 10 & HWY 177,33.70987009055556,-115.40135712444444,DSRT_RTCM3,132.239.152.4,2105,RTCM 3.1,GNSS,6
WELL,Mesa Verde Interstate 10 & Wiley's Well Road,33.60841254,-114.90248488972223,WELL_RTCM3,132.239.152.4,2105,RTCM 3.1,GNSS,6
AZBH,Bullhead City,35.10749043,-114.60497310999999,AZBH_RTCM3,132.239.152.4,2105,RTCM 3.1,GNSS,6
AZYA,AZYA GILARIDGE RD,32.68945040111111,-114.59746240277778,AZYA_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
GZKA,GaletzkaMCCA2022,33.26012294555556,-116.37726308527778,GZKA_RTCM3,132.239.152.4,2105,RTCM 3.1,GNSS,6
SCIP,San Clemente Island Peak,32.914428835555555,-118.48792961694444,SCIP_RTCM3,132.239.152.4,2104,RTCM 3.1,GPS+GLONASS,5
7ODM,Seven Oaks Dam,34.11640665111111,-117.09318273916666,7ODM_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
ALPP,Alamo Power Plant,34.82448994027778,-118.69478861500001,ALPP_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
ANA1,ANA1_SCGN_CS2002,34.01500678111111,-119.36346070055555,ANA1_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
ARM2,Arvin Maintenance Yard 2,35.20125760222223,-118.91054667222222,ARM2_RTCM3,132.239.152.4,2104,RTCM 3.3,GPS+GLONASS,5
AZU1,Azusa,34.126018476388886,-117.89647758666668,AZU1_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
BCWR,Bitter Creek Wil,34.92046149638889,-119.40583913611111,BCWR_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
BGIS,Bell Gardens Intermediate School,33.96711843166667,-118.15968767472222,BGIS_RTCM3,132.239.152.4,2104,RTCM 3.3,GPS+GLONASS,5
BRAN,Brand Basin,34.18489470555555,-118.27704091416666,BRAN_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
BUEG,Buellton - FS#31,34.612849061666665,-120.19639574277778,BUEG_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
CAT2,CAT2_SCGN_CS2000,33.31161793972222,-118.33380726777777,CAT2_RTCM3,132.239.152.4,2104,RTCM 3.3,GPS+GLONASS,5
CAT3,CAT3_SCGN_CS2008,33.445762735277775,-118.48299683972222,CAT3_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
CBHS,CBHS_SCGN_CS1998,34.13856205222222,-118.62979619833332,CBHS_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
CHIL,Chilao,34.333422495,-118.02598943972222,CHIL_RTCM3,132.239.152.4,2104,RTCM 3.3,GPS+GLONASS,5
CIRX,CIRX_SCGN_CS2000,34.10955454027778,-118.93728667583333,CIRX_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
CIT1,Caltech,34.13670878888889,-118.12727589388888,CIT1_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
CJMG,Cajon Mountain,34.27119368361111,-117.42445087361112,CJMG_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
CJMS,Cajon Maintenance Station,34.31379837583333,-117.479372215,CJMS_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
CLAR,Claremont,34.109927991111114,-117.70880016583334,CLAR_RTCM3,132.239.152.4,2104,RTCM 3.3,GPS+GLONASS,5
CMP9,Fire Camp 9,34.35317990861111,-118.4114149538889,CMP9_RTCM3,132.239.152.4,2104,RTCM 3.3,GNSS,5
